Code zone (FAO),Zone,politc_stab,n_pop,inflation,deflator,chik_export,chik_import,disp_alim
82,Gibraltar,0.0,303.17900000000003,0.0,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
83,Kiribati,1080.09,108324.15000000001,0.0,101176.083,0.0,675.0,290.15999999999997
84,Belize,0.0,0.0,11.602665000000002,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
84,Gr?ce,-7.920000000000001,0.0,0.0,10490.363,965719.0,1355094.0,0.0
84,Grèce,0.0,96306.428,0.0,0.0,0.0,0.0,103.8
85,Groenland,1119.69,33547.074,0.0,52851.3444,33352678.907117646,33120962.228784315,3034.9288039215703
86,Grenade,726.66,107770.85,0.0,100949.508,2064.0,185588.0,2219.52
87,Guadeloupe,0.0,3619.84,0.0,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
88,Guam,0.0,1455.408,0.0,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
89,Guatemala,-576.1800000000001,14193369.135,0.0,88424.5329,19258470.0,97760880.0,22135.68
90,?les Salomon,0.0,0.0,156.250059,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
90,Guin?e,-102.85,0.0,0.0,11450.5353,0.0,11756.0,0.0
90,Guinée,0.0,100960.807,0.0,0.0,0.0,0.0,61.05
91,Guyana,-199.98,604784.928,0.0,76100.9328,0.0,27800.0,1343.3600000000001
92,?les Vierges britanniques,0.0,0.0,160.136039,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
93,Ha?ti,-67.98,0.0,0.0,10891.2552,0.0,35547.0,0.0
93,Haïti,0.0,94891.312,0.0,0.0,0.0,0.0,49.29
94,Saint-Siège,0.0,5.591,0.0,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
95,Honduras,-414.81,7978725.612,0.0,87472.8153,4362336.0,11563992.0,20502.72
96,Brun?i Darussalam,0.0,0.0,52.32984,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
96,Chine - RAS de Hong-Kong,803.88,7078588.7700000005,0.0,94308.56999999999,0.0,1253475.0,1646.28
97,Hongrie,645.48,8741159.658,0.0,90206.6139,577457370.0,325081260.0,28013.04
98,Croatie,532.62,3365999.12,0.0,78232.4712,92908296.0,59296086.0,28894.32
99,Islande,1177.11,292920.21,0.0,84761.5914,0.0,0.0,140.44
100,Bulgarie,0.0,0.0,340.612503,0.0,33352678.907117646,33120962.228784315,3034.9288039215703
100,Inde,-942.48,1153625316.4259999,0.0,86963.4711,606936.0,453530.0,8572.08
101,Indon?sie,-62.26,0.0,0.0,10697.987,13090.0,660748.0,0.0
